사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
202102,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,34,1,81,6,96,47,41,25,46,53,24,31,27,59,36,71,31,71,21,43,24,88,23,127,20,198,8,94,14,62,9,67,9,61,2,72,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구,0,0,0,0,0,0,0,0,0,0,0,0,3,38,13,110,32,137,3,218,7,138,9,351,3,528,4,486,6,446,9,563,10,666,18,1100,9,1397,3,603,5,306,1,283,2,338,1,229,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,457,282,1077,373,1914,74,4277,55,3050,31,1941,13,1520,21,1868,23,1709,19,1419,50,1162,7,1137,29,1139,19,1123,168,1443,11,1486,11,2073,14,1399,8,420,2,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,18,15,537,625,1260,1200,4377,2303,5338,2061,4217,1859,2459,2254,2294,2832,2148,2704,1885,3147,1502,3707,1499,4855,1634,6372,1901,7031,1592,3420,1490,2274,1606,2129,1452,1656,697,877,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,20,17,43,26,267,139,243,32,141,45,109,26,107,39,51,47,25,32,35,53,28,38,25,68,49,51,25,63,16,48,12,76,9,47,4,22,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,24,36,8,41,30,64,47,22,39,22,34,39,23,27,36,40,23,31,13,33,32,43,9,28,8,16,10,21,4,9,9,12,9,15,2,4,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,96,4,163,3,81,4,48,2,44,3,49,5,66,0,62,2,46,1,55,7,63,0,76,0,70,1,55,4,55,1,33,0,16,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,2,70,35,55,84,61,53,31,63,20,88,17,85,10,99,3,70,2,122,3,58,6,66,4,54,0,17,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,6,52,154,62,276,61,195,50,225,48,187,50,288,28,292,43,252,16,354,12,284,7,279,4,215,4,104,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,16,1,44,4,28,9,22,187,237,171,394,192,387,185,457,144,317,97,422,100,451,149,474,44,530,36,559,29,836,27,661,17,278,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,학부생활관,0,12,0,0,0,0,0,0,0,0,0,0,1,63,6,132,25,276,47,231,41,192,40,218,49,324,43,355,25,395,25,394,11,402,9,476,13,571,10,610,2,638,6,1004,1,878,3,464,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,대학원생활관,0,10,0,0,0,0,0,0,0,0,0,0,1,86,8,107,38,375,84,404,100,372,78,337,78,410,72,446,47,482,21,425,24,432,23,516,16,594,15,724,4,710,9,1210,8,989,3,541,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,10,89,14,149,167,669,286,1023,227,695,125,484,82,453,76,538,46,427,30,373,20,281,14,164,17,227,5,113,11,96,2,87,3,50,1,18,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,17,0,29,0,92,0,125,0,67,1,35,0,29,5,16,2,11,0,7,0,1,2,2,0,0,0,0,0,0,0,2,0,0,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,47,0,116,1,317,9,966,10,557,9,177,38,123,23,85,21,52,26,15,7,9,0,8,0,5,0,3,0,1,0,2,0,0,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,19,14,19,2,84,36,38,3,114,6,174,17,248,9,272,25,415,15,577,26,953,9,1474,13,1655,43,715,14,714,19,838,58,618,78,235,11,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,2,272,0,482,3,1702,29,2167,22,1335,14,957,15,837,8,956,14,686,13,511,9,345,24,201,22,154,6,96,0,80,1,60,0,40,8,10,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,4,6,45,13,21,6,15,51,25,43,12,54,27,85,29,51,25,94,37,96,69,44,69,15,45,5,35,2,46,8,51,1,39,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,5,23,37,34,63,70,38,82,24,106,27,230,23,301,26,222,17,244,17,204,21,338,22,511,19,935,7,401,16,200,4,138,7,139,4,152,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구,0,0,0,0,0,0,0,0,0,0,0,0,209,35,453,282,1517,734,1083,406,493,26,320,20,382,39,378,39,382,47,257,45,262,37,212,51,201,63,296,76,296,41,438,73,226,53,58,27,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,46,8,30,42,431,98,292,35,206,43,143,49,195,33,242,28,202,29,147,50,133,55,99,80,81,89,103,61,121,60,124,57,82,39,16,43,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,1,0,0,0,0,0,0,0,0,0,0,36,352,123,844,773,2535,1181,1574,551,850,12,132,7,208,7,220,3,223,5,195,3,192,2,250,1,350,1,334,0,274,3,267,4,169,1,119,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,19,1,16,1,8,3,13,0,32,1,31,4,29,0,37,2,50,4,73,4,84,1,42,2,46,1,51,1,32,0,16,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관,0,0,0,0,0,0,0,0,0,0,0,0,67,6,227,32,379,136,435,52,338,18,572,21,640,33,561,33,490,28,447,20,539,46,696,49,573,69,320,53,139,41,143,43,115,31,59,25,20210303
202103,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,2,49,1,69,1,292,11,378,6,215,8,128,11,126,25,94,10,77,48,59,19,37,50,39,56,47,25,19,20,17,10,14,17,8,3,3,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,2,0,26,115,44,248,63,1120,126,1899,214,1887,430,1304,552,1100,793,1271,954,793,1295,737,1648,377,2469,338,3122,307,1763,262,1394,157,1227,99,1353,129,666,23,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,4,6,3,11,5,28,8,37,5,58,2,75,3,128,5,118,3,267,2,492,1,493,1,306,2,138,1,216,3,141,4,89,1,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,25,8,25,6,66,3,93,3,99,10,100,8,145,8,181,9,304,7,1127,11,1634,11,534,7,374,4,367,2,306,11,174,1,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,27,0,48,0,51,2,82,8,101,1,124,5,164,2,272,9,319,3,448,6,611,6,259,1,186,1,87,1,52,1,28,1,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,52,11,108,8,324,12,211,5,136,3,215,14,270,15,263,17,247,13,409,26,580,38,931,70,976,90,447,88,357,130,394,113,408,135,154,93,20210403
202103,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1,241,4,1053,11,1644,15,932,16,402,5,364,18,403,15,224,12,228,10,113,8,77,9,72,4,42,1,39,0,24,0,34,0,12,20210403
