사용년월,노선ID,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자,교통수단타입코드,교통수단타입명,"?""사용년월"""
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관,0,0,0,0,0,0,0,0,0,0,0,0,69,10,192,15,322,28,260,21,205,23,400,21,285,37,361,32,341,32,367,27,715,40,664,108,484,54,285,41,147,35,131,38,77,20,51,29,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,기숙사구관,0,0,0,0,0,0,0,0,0,0,0,0,149,30,521,18,765,81,795,24,667,10,770,22,782,19,837,26,744,34,641,25,861,38,1080,59,1293,127,754,90,549,74,431,101,443,83,269,84,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,1,24,0,0,0,0,0,0,0,0,44,2,1,0,225,166,6,53,69,65,2,4,133,38,116,63,97,60,104,84,71,74,66,121,50,158,41,182,23,222,21,235,14,120,11,140,2,94,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,171,3,297,11,545,37,437,16,374,12,394,8,407,10,470,8,446,27,491,26,655,22,768,58,939,61,510,47,274,23,203,26,89,20,37,12,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,24,10,118,32,176,64,83,64,52,37,65,88,58,75,52,92,47,78,35,77,32,67,33,176,38,313,18,151,14,97,20,80,7,114,5,65,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구,0,1,0,0,0,0,0,0,0,0,0,0,10,88,8,145,39,286,5,201,7,172,6,317,9,381,32,439,10,352,15,632,4,618,11,1360,16,1710,8,865,1,500,3,515,4,496,7,362,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,285,5,0,0,0,0,0,0,0,0,482,212,1712,373,2636,109,7693,272,7080,220,6045,200,4356,71,4640,160,3243,94,3787,100,2819,82,2949,208,3511,168,4024,288,3904,310,3689,193,2966,87,3670,112,3033,130,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,200,6,1231,21,1567,31,1182,23,495,19,341,28,388,23,232,27,215,18,108,9,83,7,64,1,49,0,41,0,18,1,19,0,6,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,47,1,95,8,381,7,146,5,119,5,232,22,267,13,266,25,324,22,398,28,615,35,990,54,1066,125,389,108,331,96,323,93,324,107,180,105,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,29,1,4,1,15,0,31,2,28,6,91,6,123,5,68,4,179,5,232,46,297,6,647,6,624,12,284,7,188,1,121,1,63,0,47,1,20180303,,,
