사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자
202302,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원(00011),2,46,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,34,1,21,1,28,214,395,215,534,324,584,171,526,165,474,147,523,187,584,215,572,100,645,67,704,63,827,34,907,12,826,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,학부생활관(00012),0,74,0,0,0,0,0,0,0,0,0,0,3,185,5,219,72,291,93,204,63,257,46,311,64,459,53,468,44,467,33,493,27,598,15,672,31,679,22,817,14,783,14,1050,12,1337,7,1404,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,대학원생활관(00013),0,78,0,0,0,0,0,0,0,0,0,0,8,187,42,285,37,676,76,662,46,568,46,631,47,630,57,694,33,593,26,655,10,573,8,546,20,809,8,873,21,900,9,1123,8,1324,6,1105,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리(00014),0,0,0,0,0,0,0,0,0,0,1,0,21,236,22,369,137,1829,304,2751,200,1524,113,1134,101,1218,90,1357,57,933,57,803,60,587,22,517,62,694,12,272,7,227,8,177,8,134,18,27,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트(00019),0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,0,26,0,31,1,70,2,33,2,10,9,9,3,8,1,6,8,3,8,1,0,0,0,1,0,0,0,0,0,0,0,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트(00020),0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,0,7,0,13,1,21,0,20,0,7,5,4,1,2,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소(00021),0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,0,18,0,50,0,243,8,144,11,46,5,12,8,15,5,8,8,5,0,4,0,0,0,1,0,1,0,0,0,0,1,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소(00020),0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,38,0,63,3,207,5,560,6,304,3,113,6,47,16,52,4,28,11,14,6,10,7,6,0,2,0,0,0,2,0,1,0,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당(00026),0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,9,1,4,0,13,0,5,2,19,2,16,1,41,0,42,7,55,2,114,0,169,4,58,1,34,0,30,4,24,2,6,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당(00015),0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,18,0,81,2,130,0,65,0,30,1,31,0,36,2,32,0,24,1,20,0,7,94,102,0,13,0,6,0,5,0,1,0,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.관악복합평생교육센터(00033),0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,13,23,19,34,59,37,22,43,25,54,27,38,33,96,45,68,61,115,43,143,62,69,64,27,38,65,54,60,39,21,44,1,35,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.관악복합평생교육센터(00035),0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,3,5,6,15,10,6,17,10,16,22,12,10,37,12,40,18,50,17,43,23,41,24,13,16,32,26,17,11,7,12,0,14,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교(00037),0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,31,19,16,33,4,23,5,79,6,98,6,91,4,82,9,87,3,96,10,263,9,417,2,129,3,101,5,62,0,75,0,25,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교(00035),0,0,0,0,0,0,0,0,0,0,0,0,2,24,38,57,84,71,40,73,24,74,7,225,20,205,22,213,13,204,27,139,15,230,15,512,15,816,13,389,5,232,9,135,3,145,0,103,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구(00002),0,0,0,0,0,0,0,0,0,0,1,1,279,47,326,129,960,236,459,74,252,29,305,46,488,47,522,48,372,45,282,55,298,43,296,79,363,97,420,130,385,56,504,70,549,77,557,38,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교(00003),0,0,0,0,0,0,0,0,0,0,0,0,13,34,73,84,233,85,237,60,137,58,178,64,282,53,299,56,196,61,144,81,122,63,120,105,113,131,175,156,146,61,174,70,114,72,106,65,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00032),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16,1,7,0,8,1,7,0,11,1,10,0,12,2,16,0,14,3,21,3,29,0,15,0,13,1,16,0,11,0,2,30,서울마을버스,20230303
