사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자,"?""사용년월"""
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리(00014),0,0,0,0,0,0,0,0,0,0,1,0,27,432,40,897,176,3388,448,6893,306,4777,148,2057,220,3482,379,3457,74,1776,164,1508,81,949,71,1039,87,1053,22,451,15,270,4,275,8,202,32,55,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트(00020),0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,0,19,0,23,0,18,4,8,1,4,0,6,8,2,5,3,1,1,3,0,0,0,0,2,0,2,0,0,0,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트(00019),0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,0,16,5,52,3,77,2,42,7,27,20,13,8,18,10,3,19,3,4,6,10,2,0,2,0,1,2,2,0,0,1,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소(00020),0,0,0,0,0,0,0,0,0,0,0,0,1,42,2,29,7,91,2,259,9,782,9,323,45,110,37,74,20,73,29,31,13,13,7,13,1,6,2,5,0,4,0,1,1,2,0,1,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소(00021),0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22,1,32,1,110,4,249,4,130,27,35,20,15,8,24,11,11,9,12,14,2,1,3,1,1,1,1,0,0,0,0,0,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당(00026),0,0,0,0,0,0,0,0,0,0,0,0,43,3,108,7,201,8,210,4,262,13,352,11,577,20,441,14,452,17,708,19,933,21,1087,27,1181,40,482,37,436,36,488,40,347,41,138,25,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당(00015),0,0,0,0,0,0,0,0,0,0,0,0,3,57,0,58,1,344,3,367,2,205,5,167,1,145,11,187,9,99,5,107,5,47,1,23,2,23,0,19,0,17,0,15,0,11,0,3,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.관악복합평생교육센터(00035),0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,13,9,15,8,10,14,9,17,8,20,10,27,10,28,9,36,16,43,34,60,21,35,26,12,9,16,14,13,18,5,21,1,14,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을(00033),0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,39,26,40,18,25,36,11,47,21,57,35,77,34,139,33,99,59,129,65,110,64,61,48,34,32,48,38,65,40,8,41,2,24,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.관악복합평생교육센터(00033),0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,17,12,23,15,6,26,8,13,6,34,13,24,15,37,14,24,19,61,12,52,40,35,30,22,12,26,18,31,19,4,21,0,11,30.0,서울마을버스,20221203,
